Total Death,Crew Death,Passenger Death,Ground Death,Type,Incident[nb 8],Aircraft,Location,Phase,Date,Latitude,Longitude
50,4,46,0,COM,Olympic Airways Flight 830,NAMC YS-11A-500,"Servia, Greece",APR,23-Nov-76,,
50,6,44,0,COM,Hughes Airwest Flight 706 and,McDonnell Douglas DC-9-31andˇMcDonnell Douglas F-4 Phantom II,"San Gabriel Mts., nearˇDuarte, California, US",ENR,6-Jun-71,,
50,5,43,2,COM,Ariana Afghan Airlines Flight 701,Boeing 727-113C,"Fernhill, England, UK",APR,5-Jan-69,,
50,5,45,0,COM,All Nippon Airways Flight 533,NAMC YS-11,"Seto Inland Sea, offˇMatsuyama, Shikoku, Japan",APR,13-Nov-66,,
50,5,45,0,COM,Iberia (EC-ATH),Convair CV-440-62,"Atlantic Ocean, offˇTangier, Morocco",APR,31-Mar-65,,
50,5,45,0,COM,TWA Flight 800,Boeing 707-331,"Fiumicino, Italy",TOF,23-Nov-64,,
50,7,43,0,COM,Panair do Brasil (PP-PDE),Lockheed L-049 Constellation,"area ofˇManaus, Brazil",ENR,14-Dec-62,,
50,4,46,0,COM,Capital Airlines Flight 20,Vickers Viscount 745D,"Holdcroft, Virginia, US",ENR,18-Jan-60,,
50,5,45,0,COM,Scottish Airlines (G-ANSY),Avro York,"?urrieq, Malta",ENR,18-Feb-56,,
50,9,41,0,COM,Pan Am Flight 202,Boeing 377-10-26,"nearˇSantana do Araguaia, Brazil",ENR,29-Apr-52,,
50,6,44,0,COM,United Airlines Flight 615,Douglas DC-6B,"Union City, California, US",APR,24-Aug-51,,
50,5,45,0,COM,United Airlines Flight 610,Douglas DC-6,"nearˇFort Collins, Colorado, US",ENR,30-Jun-51,,
50,3,47,0,COM,Pennsylvania Central Airlines Flight 410,Douglas C-54-DO,"Shannondale, West Virginia, US",ENR,13-Jun-47,,
